year,canton,haildays_sum,lat_lon,haildays_per_point
2014,TG,28,926,0.03023758099352052
2015,TG,335,926,0.3617710583153348
2016,TG,212,926,0.22894168466522677
2017,TG,544,926,0.5874730021598272
2018,TG,419,926,0.4524838012958963
2019,TG,250,926,0.26997840172786175
2020,TG,118,926,0.12742980561555076
2021,TG,1468,926,1.5853131749460043
2022,TG,623,926,0.6727861771058316
2002,TI,1449,2505,0.578443113772455
2003,TI,3532,2505,1.4099800399201596
2004,TI,627,2505,0.2502994011976048
2005,TI,1628,2505,0.6499001996007984
2006,TI,2746,2505,1.0962075848303394
2007,TI,1817,2505,0.7253493013972055
2008,TI,2044,2505,0.8159680638722555
2009,TI,2473,2505,0.9872255489021956
2010,TI,793,2505,0.31656686626746505
2011,TI,999,2505,0.39880239520958083
2012,TI,2262,2505,0.9029940119760479
2013,TI,2176,2505,0.8686626746506986
2014,TI,957,2505,0.38203592814371257
2015,TI,1964,2505,0.7840319361277445
2016,TI,1143,2505,0.4562874251497006
2017,TI,2704,2505,1.0794411177644712
2018,TI,1790,2505,0.7145708582834331
2019,TI,2842,2505,1.1345309381237525
2020,TI,1191,2505,0.4754491017964072
2021,TI,5480,2505,2.187624750499002
2022,TI,8396,2505,3.3516966067864273
2002,UR,99,852,0.11619718309859155
2003,UR,371,852,0.4354460093896714
2004,UR,73,852,0.08568075117370892
2005,UR,110,852,0.12910798122065728
2006,UR,445,852,0.5223004694835681
2007,UR,152,852,0.1784037558685446
2008,UR,423,852,0.4964788732394366
2009,UR,148,852,0.17370892018779344
2010,UR,281,852,0.32981220657276994
2011,UR,51,852,0.05985915492957746
2012,UR,202,852,0.23708920187793428
2013,UR,54,852,0.06338028169014084
2014,UR,12,852,0.014084507042253521
2015,UR,138,852,0.1619718309859155
2016,UR,73,852,0.08568075117370892
2017,UR,322,852,0.3779342723004695
2018,UR,85,852,0.09976525821596244
2019,UR,96,852,0.11267605633802817
2020,UR,11,852,0.012910798122065728
2021,UR,180,852,0.2112676056338028
2022,UR,1544,852,1.812206572769953
2002,VD,803,3010,0.26677740863787375
2003,VD,4312,3010,1.4325581395348836
2004,VD,1940,3010,0.6445182724252492
2005,VD,2408,3010,0.8
2006,VD,1532,3010,0.5089700996677741
2007,VD,1672,3010,0.5554817275747508
2008,VD,2928,3010,0.9727574750830564
2009,VD,2757,3010,0.9159468438538206
2010,VD,1029,3010,0.34186046511627904
2011,VD,229,3010,0.0760797342192691
2012,VD,480,3010,0.15946843853820597
2013,VD,1262,3010,0.4192691029900332
2014,VD,587,3010,0.19501661129568107
2015,VD,850,3010,0.2823920265780731
2016,VD,370,3010,0.12292358803986711
2017,VD,945,3010,0.313953488372093
2018,VD,995,3010,0.33056478405315615
2019,VD,2353,3010,0.7817275747508305
2020,VD,440,3010,0.1461794019933555
2021,VD,2602,3010,0.8644518272425249
2022,VD,5280,3010,1.7541528239202657
2002,VS,203,4565,0.04446878422782037
2003,VS,1413,4565,0.3095290251916758
2004,VS,511,4565,0.11193866374589266
2005,VS,205,4565,0.044906900328587074
2006,VS,580,4565,0.12705366922234393
2007,VS,169,4565,0.037020810514786416
2008,VS,443,4565,0.09704271631982475
2009,VS,876,4565,0.191894852135816
2010,VS,241,4565,0.05279299014238773
2011,VS,25,4565,0.00547645125958379
2012,VS,279,4565,0.06111719605695509
2013,VS,449,4565,0.09835706462212486
2014,VS,54,4565,0.011829134720700987
2015,VS,732,4565,0.16035049288061337
2016,VS,83,4565,0.01818181818181818
2017,VS,403,4565,0.0882803943044907
2018,VS,555,4565,0.12157721796276014
2019,VS,1008,4565,0.2208105147864184
2020,VS,85,4565,0.018619934282584884
2021,VS,490,4565,0.10733844468784227
2022,VS,1761,4565,0.3857612267250822
2002,ZG,75,198,0.3787878787878788
2003,ZG,253,198,1.2777777777777777
2004,ZG,80,198,0.40404040404040403
2005,ZG,148,198,0.7474747474747475
2006,ZG,234,198,1.1818181818181819
2007,ZG,32,198,0.16161616161616163
2008,ZG,231,198,1.1666666666666667
2009,ZG,294,198,1.4848484848484849
2010,ZG,364,198,1.8383838383838385
2011,ZG,304,198,1.5353535353535352
2012,ZG,88,198,0.4444444444444444
2013,ZG,119,198,0.601010101010101
2014,ZG,54,198,0.2727272727272727
2015,ZG,68,198,0.3434343434343434
2016,ZG,161,198,0.8131313131313131
2017,ZG,263,198,1.3282828282828283
2018,ZG,77,198,0.3888888888888889
2019,ZG,156,198,0.7878787878787878
2020,ZG,109,198,0.5505050505050505
2021,ZG,852,198,4.303030303030303
2022,ZG,485,198,2.4494949494949494
2002,ZH,770,1673,0.4602510460251046
2003,ZH,1358,1673,0.8117154811715481
2004,ZH,1260,1673,0.7531380753138075
2005,ZH,272,1673,0.1625821876867902
2006,ZH,686,1673,0.4100418410041841
2007,ZH,301,1673,0.1799163179916318
2008,ZH,1521,1673,0.909145248057382
2009,ZH,1763,1673,1.053795576808129
2010,ZH,683,1673,0.4082486551105798
2011,ZH,1502,1673,0.8977884040645547
2012,ZH,2154,1673,1.28750747160789
2013,ZH,1121,1673,0.6700537955768081
2014,ZH,354,1673,0.21159593544530783
2015,ZH,975,1673,0.5827854154213987
2016,ZH,721,1673,0.4309623430962343
2017,ZH,1066,1673,0.6371787208607292
2018,ZH,599,1673,0.3580394500896593
2019,ZH,521,1673,0.3114166168559474
2020,ZH,370,1673,0.22115959354453077
2021,ZH,5102,1673,3.049611476389719
2022,ZH,2213,1673,1.3227734608487747
